transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
93,Oscar,https://www.transfermarkt.co.uk/oscar/profil/spieler/85314,https://img.a.transfermarkt.technology/portrait/medium/85314-1563435929.jpg?lm=1,Attacking Midfield,25,35000000,16/17,"['Brazil', 'Italy']",Chelsea FC,Premier League,Shanghai SIPG,Super League,60000000
94,Anthony Martial,https://www.transfermarkt.co.uk/anthony-martial/profil/spieler/182877,https://img.a.transfermarkt.technology/portrait/medium/182877-1716885173.jpg?lm=1,Centre-Forward,19,8000000,15/16,"['France', 'Guadeloupe']",AS Monaco,Ligue 1,Manchester United,Premier League,60000000
95,Luís Figo,https://www.transfermarkt.co.uk/luis-figo/profil/spieler/3446,https://img.a.transfermarkt.technology/portrait/medium/3446-1570440028.jpg?lm=1,Right Winger,27,-,00/01,['Portugal'],FC Barcelona,LaLiga,Real Madrid,LaLiga,60000000
96,João Neves,https://www.transfermarkt.co.uk/joao-neves/profil/spieler/670681,https://img.a.transfermarkt.technology/portrait/medium/670681-1701295511.jpg?lm=1,Defensive Midfield,19,55000000,24/25,['Portugal'],SL Benfica,Liga Portugal,Paris Saint-Germain,Ligue 1,59920000
97,Amadou Onana,https://www.transfermarkt.co.uk/amadou-onana/profil/spieler/485706,https://img.a.transfermarkt.technology/portrait/medium/485706-1718697649.jpg?lm=1,Defensive Midfield,22,50000000,24/25,"['Belgium', 'Senegal']",Everton FC,Premier League,Aston Villa,Premier League,59350000
98,Fred,https://www.transfermarkt.co.uk/fred/profil/spieler/191614,https://img.a.transfermarkt.technology/portrait/medium/191614-1698609730.png?lm=1,Central Midfield,25,32000000,18/19,['Brazil'],Shakhtar Donetsk,Premier Liga,Manchester United,Premier League,59000000
99,Ben White,https://www.transfermarkt.co.uk/ben-white/profil/spieler/335721,https://img.a.transfermarkt.technology/portrait/medium/335721-1683275943.jpg?lm=1,Right-Back,23,28000000,21/22,['England'],Brighton & Hove Albion,Premier League,Arsenal FC,Premier League,58500000
100,Fernando Torres,https://www.transfermarkt.co.uk/fernando-torres/profil/spieler/7767,https://img.a.transfermarkt.technology/portrait/medium/7767-1683642827.jpg?lm=1,Centre-Forward,26,50000000,10/11,['Spain'],Liverpool FC,Premier League,Chelsea FC,Premier League,58500000
101,Richarlison,https://www.transfermarkt.co.uk/richarlison/profil/spieler/378710,https://img.a.transfermarkt.technology/portrait/medium/378710-1665608231.jpg?lm=1,Centre-Forward,25,48000000,22/23,['Brazil'],Everton FC,Premier League,Tottenham Hotspur,Premier League,58000000
102,Raphinha,https://www.transfermarkt.co.uk/raphinha/profil/spieler/411295,https://img.a.transfermarkt.technology/portrait/medium/411295-1724406375.jpg?lm=1,Right Winger,25,45000000,22/23,"['Brazil', 'Italy']",Leeds United,Premier League,FC Barcelona,LaLiga,58000000
103,Benjamin Mendy,https://www.transfermarkt.co.uk/benjamin-mendy/profil/spieler/157495,https://img.a.transfermarkt.technology/portrait/medium/157495-1598301159.jpg?lm=1,Left-Back,23,13000000,17/18,"['France', 'Senegal']",AS Monaco,Ligue 1,Manchester City,Premier League,57500000
104,Lisandro Martínez,https://www.transfermarkt.co.uk/lisandro-martinez/profil/spieler/480762,https://img.a.transfermarkt.technology/portrait/medium/480762-1680681507.jpg?lm=1,Centre-Back,24,32000000,22/23,['Argentina'],Ajax Amsterdam,Eredivisie,Manchester United,Premier League,57370000
105,Jorginho,https://www.transfermarkt.co.uk/jorginho/profil/spieler/102017,https://img.a.transfermarkt.technology/portrait/medium/102017-1682590896.jpg?lm=1,Defensive Midfield,26,50000000,18/19,"['Italy', 'Brazil']",SSC Napoli,Serie A,Chelsea FC,Premier League,57000000
106,Hernán Crespo,https://www.transfermarkt.co.uk/hernan-crespo/profil/spieler/3410,https://img.a.transfermarkt.technology/portrait/medium/3410-1719458041.jpg?lm=1,Centre-Forward,25,-,00/01,"['Argentina', 'Italy']",AC Parma,Serie A,SS Lazio,Serie A,56810000
107,Raheem Sterling,https://www.transfermarkt.co.uk/raheem-sterling/profil/spieler/134425,https://img.a.transfermarkt.technology/portrait/medium/134425-1684165974.jpg?lm=1,Left Winger,27,70000000,22/23,"['England', 'Jamaica']",Manchester City,Premier League,Chelsea FC,Premier League,56200000
108,Hulk,https://www.transfermarkt.co.uk/hulk/profil/spieler/80562,https://img.a.transfermarkt.technology/portrait/medium/80562-1563436073.jpg?lm=1,Centre-Forward,29,32000000,16/17,['Brazil'],Zenit St. Petersburg,Premier Liga,Shanghai SIPG,Super League,56000000
109,John Stones,https://www.transfermarkt.co.uk/john-stones/profil/spieler/186590,https://img.a.transfermarkt.technology/portrait/medium/186590-1684764261.jpg?lm=1,Centre-Back,22,28000000,16/17,['England'],Everton FC,Premier League,Manchester City,Premier League,55600000
110,Dani Olmo,https://www.transfermarkt.co.uk/dani-olmo/profil/spieler/293385,https://img.a.transfermarkt.technology/portrait/medium/293385-1711546268.jpg?lm=1,Attacking Midfield,26,60000000,24/25,['Spain'],RB Leipzig,Bundesliga,FC Barcelona,LaLiga,55000000
